Trip Duration,Start Time,Stop Time,Start Station ID,Start Station Name,Start Station Latitude,Start Station Longitude,End Station ID,End Station Name,End Station Latitude,End Station Longitude,Bike ID,User Type,Birth Year,Gender
1985,2016-12-01 11:41,2016-12-01 12:14,457,Broadway & W 58 St,40.76695317,-73.98169333,499,Broadway & W 60 St,40.76915505,-73.98191841,17421,Subscriber,1974,2
530,2016-12-01 11:43,2016-12-01 11:52,173,Broadway & W 49 St,40.76068327,-73.98452729,499,Broadway & W 60 St,40.76915505,-73.98191841,18658,,1986,1
2397,2016-12-01 11:44,2016-12-01 12:24,3158,W 63 St & Broadway,40.77163851,-73.98261428,499,Broadway & W 60 St,40.76915505,-73.98191841,24284,Subscriber,1985,1
579,2016-12-01 11:47,2016-12-01 11:57,477,W 41 St & 8 Ave,40.75640548,-73.9900262,499,Broadway & W 60 St,40.76915505,-73.98191841,23872,Subscriber,1954,1
548,2016-12-01 11:51,2016-12-01 12:00,477,W 41 St & 8 Ave,40.75640548,-73.9900262,499,Broadway & W 60 St,40.76915505,-73.98191841,21959,Subscriber,1992,1
418,2016-12-01 12:00,2016-12-01 12:07,2023,E 55 St & Lexington Ave,40.75968085,-73.97031366,499,Broadway & W 60 St,40.76915505,-73.98191841,21400,Subscriber,1981,1
662,2016-12-01 12:03,2016-12-01 12:14,3233,E 48 St & 5 Ave,40.75724568,-73.97805914,499,Broadway & W 60 St,40.76915505,-73.98191841,18627,Subscriber,1978,1
370,2016-12-01 12:15,2016-12-01 12:22,305,E 58 St & 3 Ave,40.76095756,-73.96724467,499,Broadway & W 60 St,40.76915505,-73.98191841,27165,Subscriber,1984,1
759,2016-12-01 12:25,2016-12-01 12:38,3161,W 76 St & Columbus Ave,40.78018397,-73.97728533,499,Broadway & W 60 St,40.76915505,-73.98191841,26479,Subscriber,1973,2
1626,2016-12-01 12:25,2016-12-01 12:53,499,Broadway & W 60 St,40.76915505,-73.98191841,499,Broadway & W 60 St,40.76915505,-73.98191841,24284,Subscriber,1964,1
