Trip Duration,Start Time,Stop Time,Start Station ID,Start Station Name,Start Station Latitude,Start Station Longitude,End Station ID,End Station Name,End Station Latitude,End Station Longitude,Bike ID,User Type,Birth Year,Gender
204,2016-12-01 13:00,2016-12-01 13:04,499,Broadway & W 60 St,40.76915505,-73.98191841,499,Broadway & W 60 St,40.76915505,-73.98191841,25521,,1962,1
186,2016-12-01 13:00,2016-12-01 13:04,499,Broadway & W 60 St,40.76915505,-73.98191841,499,Broadway & W 60 St,40.76915505,-73.98191841,18696,Customer,1992,1
205,2016-12-01 13:00,2016-12-01 13:04,499,Broadway & W 60 St,40.76915505,-73.98191841,499,Broadway & W 60 St,40.76915505,-73.98191841,19737,,1988,1
221,2016-12-01 13:02,2016-12-01 13:06,499,Broadway & W 60 St,40.76915505,-73.98191841,422,W 59 St & 10 Ave,40.770513,-73.988038,25846,Subscriber,1989,1
300,2016-12-01 13:03,2016-12-01 13:08,499,Broadway & W 60 St,40.76915505,-73.98191841,3132,E 59 St & Madison Ave,40.76350532,-73.97109243,26479,Subscriber,1978,1
1016,2016-12-01 13:06,2016-12-01 13:23,499,Broadway & W 60 St,40.76915505,-73.98191841,3362,Madison Ave & E 82 St,40.7781314,-73.96069399,24829,Subscriber,1991,2
105,2016-12-01 13:11,2016-12-01 13:13,499,Broadway & W 60 St,40.76915505,-73.98191841,3158,W 63 St & Broadway,40.77163851,-73.98261428,19327,Subscriber,1964,1
493,2016-12-01 13:14,2016-12-01 13:22,499,Broadway & W 60 St,40.76915505,-73.98191841,3233,E 48 St & 5 Ave,40.75724568,-73.97805914,19737,Subscriber,1966,1
979,2016-12-01 13:15,2016-12-01 13:31,499,Broadway & W 60 St,40.76915505,-73.98191841,3159,W 67 St & Broadway,40.77492513,-73.98266566,25521,Subscriber,1968,1
212,2016-12-01 13:19,2016-12-01 13:22,499,Broadway & W 60 St,40.76915505,-73.98191841,422,W 59 St & 10 Ave,40.770513,-73.988038,18696,Subscriber,1979,1
410,2016-12-01 13:20,2016-12-01 13:27,499,Broadway & W 60 St,40.76915505,-73.98191841,515,W 43 St & 10 Ave,40.76009437,-73.99461843,24284,Subscriber,1961,1
189,2016-12-01 13:52,2016-12-01 13:56,499,Broadway & W 60 St,40.76915505,-73.98191841,3356,Amsterdam Ave & W 66 St,40.7746671,-73.98470567,24928,Subscriber,1972,1
259,2016-12-01 13:56,2016-12-01 14:00,499,Broadway & W 60 St,40.76915505,-73.98191841,3166,Riverside Dr & W 72 St,40.78057799,-73.98562431,26968,Subscriber,1989,1
1390,2016-12-01 14:01,2016-12-01 14:24,499,Broadway & W 60 St,40.76915505,-73.98191841,3374,Central Park North & Adam Clayton Powell Blvd,40.799484,-73.955613,17421,Customer,,0
1355,2016-12-01 14:02,2016-12-01 14:24,499,Broadway & W 60 St,40.76915505,-73.98191841,3374,Central Park North & Adam Clayton Powell Blvd,40.799484,-73.955613,26467,Customer,,0
323,2016-12-01 14:06,2016-12-01 14:12,499,Broadway & W 60 St,40.76915505,-73.98191841,449,W 52 St & 9 Ave,40.76461837,-73.98789473,22001,Subscriber,1986,1
570,2016-12-01 14:21,2016-12-01 14:30,499,Broadway & W 60 St,40.76915505,-73.98191841,520,W 52 St & 5 Ave,40.75992262,-73.97648516,15663,Customer,,0
543,2016-12-01 14:21,2016-12-01 14:30,499,Broadway & W 60 St,40.76915505,-73.98191841,520,W 52 St & 5 Ave,40.75992262,-73.97648516,25288,Customer,,0
976,2016-12-01 14:35,2016-12-01 14:51,499,Broadway & W 60 St,40.76915505,-73.98191841,491,E 24 St & Park Ave S,40.74096374,-73.98602213,16888,Subscriber,1976,1
248,2016-12-01 14:39,2016-12-01 14:44,499,Broadway & W 60 St,40.76915505,-73.98191841,422,W 59 St & 10 Ave,40.770513,-73.988038,14947,Subscriber,1987,2
345,2016-12-01 14:40,2016-12-01 14:46,499,Broadway & W 60 St,40.76915505,-73.98191841,530,11 Ave & W 59 St,40.771522,-73.990541,19544,Subscriber,1954,2
552,2016-12-01 14:54,2016-12-01 15:03,499,Broadway & W 60 St,40.76915505,-73.98191841,3359,E 68 St & Madison Ave,40.7691572,-73.96703464,17443,Subscriber,1995,1
265,2016-12-01 15:01,2016-12-01 15:05,499,Broadway & W 60 St,40.76915505,-73.98191841,3176,W 64 St & West End Ave,40.77452835,-73.98753759,27277,Subscriber,1985,2
1752,2016-12-01 15:03,2016-12-01 15:32,499,Broadway & W 60 St,40.76915505,-73.98191841,3226,W 82 St & Central Park West,40.78275,-73.97137,25673,Subscriber,1965,1
375,2016-12-01 15:15,2016-12-01 15:21,499,Broadway & W 60 St,40.76915505,-73.98191841,173,Broadway & W 49 St,40.76068327,-73.98452729,26467,Subscriber,1982,1
2085,2016-12-01 15:32,2016-12-01 16:07,499,Broadway & W 60 St,40.76915505,-73.98191841,285,Broadway & E 14 St,40.73454567,-73.99074142,23109,Subscriber,1973,1
154,2016-12-01 15:57,2016-12-01 16:00,499,Broadway & W 60 St,40.76915505,-73.98191841,422,W 59 St & 10 Ave,40.770513,-73.988038,16766,Subscriber,1981,2
526,2016-12-01 16:04,2016-12-01 16:13,499,Broadway & W 60 St,40.76915505,-73.98191841,3236,W 42 St & Dyer Ave,40.75898481,-73.99379969,27241,Subscriber,1980,2
604,2016-12-01 16:07,2016-12-01 16:18,499,Broadway & W 60 St,40.76915505,-73.98191841,3378,E 76 St & Park Ave,40.773763,-73.96222088,26970,Subscriber,1979,1
1507,2016-12-01 16:10,2016-12-01 16:35,499,Broadway & W 60 St,40.76915505,-73.98191841,3336,E 97 St & Madison Ave,40.787801,-73.953559,23948,Subscriber,1985,2
1495,2016-12-01 16:11,2016-12-01 16:36,499,Broadway & W 60 St,40.76915505,-73.98191841,3336,E 97 St & Madison Ave,40.787801,-73.953559,22118,Subscriber,1978,1
702,2016-12-01 16:17,2016-12-01 16:29,499,Broadway & W 60 St,40.76915505,-73.98191841,478,11 Ave & W 41 St,40.76030096,-73.99884222,27095,Subscriber,1985,2
959,2016-12-01 16:38,2016-12-01 16:54,499,Broadway & W 60 St,40.76915505,-73.98191841,3155,Lexington Ave & E 63 St,40.76440023,-73.96648977,17725,Subscriber,1979,2
256,2016-12-01 16:42,2016-12-01 16:46,499,Broadway & W 60 St,40.76915505,-73.98191841,530,11 Ave & W 59 St,40.771522,-73.990541,15333,Subscriber,1978,2
786,2016-12-01 16:47,2016-12-01 17:00,499,Broadway & W 60 St,40.76915505,-73.98191841,525,W 34 St & 11 Ave,40.75594159,-74.0021163,22003,Subscriber,1987,1
312,2016-12-01 16:52,2016-12-01 16:58,499,Broadway & W 60 St,40.76915505,-73.98191841,3172,W 74 St & Columbus Ave,40.7785669,-73.97754961,24850,Subscriber,1983,1
151,2016-12-01 17:31,2016-12-01 17:34,499,Broadway & W 60 St,40.76915505,-73.98191841,3159,W 67 St & Broadway,40.77492513,-73.98266566,26799,Subscriber,1975,1
312,2016-12-01 17:42,2016-12-01 17:48,499,Broadway & W 60 St,40.76915505,-73.98191841,530,11 Ave & W 59 St,40.771522,-73.990541,25502,Subscriber,1988,1
585,2016-12-01 17:48,2016-12-01 17:58,499,Broadway & W 60 St,40.76915505,-73.98191841,493,W 45 St & 6 Ave,40.7568001,-73.98291153,18802,Subscriber,1958,1
2105,2016-12-01 17:51,2016-12-01 18:26,499,Broadway & W 60 St,40.76915505,-73.98191841,3002,South End Ave & Liberty St,40.711512,-74.015756,25204,Subscriber,1961,1
836,2016-12-01 17:59,2016-12-01 18:13,499,Broadway & W 60 St,40.76915505,-73.98191841,3141,1 Ave & E 68 St,40.76500525,-73.95818491,24145,Subscriber,,0
184,2016-12-01 18:08,2016-12-01 18:12,499,Broadway & W 60 St,40.76915505,-73.98191841,3159,W 67 St & Broadway,40.77492513,-73.98266566,24941,Subscriber,1949,1
926,2016-12-01 18:09,2016-12-01 18:24,499,Broadway & W 60 St,40.76915505,-73.98191841,3141,1 Ave & E 68 St,40.76500525,-73.95818491,25675,Subscriber,1972,1
264,2016-12-01 18:10,2016-12-01 18:14,499,Broadway & W 60 St,40.76915505,-73.98191841,3176,W 64 St & West End Ave,40.77452835,-73.98753759,22797,Subscriber,1979,1
1372,2016-12-01 18:13,2016-12-01 18:36,499,Broadway & W 60 St,40.76915505,-73.98191841,3350,W 100 St & Broadway,40.7973721,-73.97041192,26050,Subscriber,1963,1
